page,name,url
6,TPA1 Tampa Data Center Campus,https://www.datacenters.com/centersquare-tpa1-tampa-campus
6,ME2 Melbourne Data Center,https://www.datacenters.com/equinix-me2-melbourne
6,AT4 Atlanta Data Center,https://www.datacenters.com/equinix-at4-atlanta
6,DC10 Ashburn Data Center,https://www.datacenters.com/equinix-dc10-ashburn
6,SFO2 Santa Clara Data Center Campus,https://www.datacenters.com/centersquare-sfo2-santa-clara-campus
6,AZP - 3 - Phoenix Data Center,https://www.datacenters.com/iron-mountain-azp-3-phoenix
6,Telepark Singapore Data Center,https://www.datacenters.com/singtel-telepark-singapore
6,SE4 Kent Data Center,https://www.datacenters.com/equinix-se4-kent
6,ORNY1 Orangeburg Data Center,https://www.datacenters.com/1547-critical-systems-realty-orny1-orangeburg
7,ORNY1 Orangeburg Data Center,https://www.datacenters.com/1547-critical-systems-realty-orny1-orangeburg
7,Overland Park - Kansas City Data Center,https://www.datacenters.com/qts-overland-park-kansas-city
7,London LHR30 Data Center,https://www.datacenters.com/digital-realty-london-lhr30
7,DC13 Ashburn Data Center,https://www.datacenters.com/equinix-dc13-ashburn
7,Frankfurt FRA15 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra15
7,LHR3 Reading Data Center Campus,https://www.datacenters.com/centersquare-lhr3-reading-campus
7,PA2 Saint-Denis Data Center,https://www.datacenters.com/equinix-pa2-saint-denis
7,M1 Melbourne Data Center,https://www.datacenters.com/nextdc-m1-melbourne
7,FR9x Frankfurt xScale Data Center,https://www.datacenters.com/equinix-fr9x-frankfurt-xscale
7,Pune Data Center,https://www.datacenters.com/web-werks-india-pvt-ltd-pune
7,Boston (BO1-Watertown) Data Center,https://www.datacenters.com/centersquare-boston-bo1-watertown
7,PHX1-PHX8 Phoenix Data Center,https://www.datacenters.com/cyrusone-phx1-phx8-phoenix
7,AE1 Adelaide Data Center,https://www.datacenters.com/equinix-ae1-adelaide
7,New York - HWT Hawthorne Data Center,https://www.datacenters.com/tierpoint-new-york-hwt-hawthorne
7,London LHR13 Data Center,https://www.datacenters.com/digital-realty-london-lhr13
7,Paris PAR9 Data Center,https://www.datacenters.com/digital-realty-paris-par9
7,MI6 Doral Data Center,https://www.datacenters.com/equinix-mi6-doral
7,Frankfurt FRA28 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra28
7,Frankfurt FRA3 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra3
7,LON2 London Data Center,https://www.datacenters.com/cyrusone-lon2-london
7,HE7 Helsinki Data Center,https://www.datacenters.com/equinix-he7-helsinki
7,London LHR19 Data Center,https://www.datacenters.com/digital-realty-london-lhr19
7,IAD2 - McLean Data Center,https://www.datacenters.com/databank-iad2-mclean
7,Switch Data Centers: Pyramid Data Center,https://www.datacenters.com/switch-switch-pyramid
7,Frankfurt FRA1 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra1
7,YYZ1 Mississauga Data Center Campus,https://www.datacenters.com/centersquare-yyz1-mississauga-campus
7,DC1 Ashburn Data Center,https://www.datacenters.com/equinix-dc1-ashburn
7,CA3 Sacramento Data Center,https://www.datacenters.com/ntt-global-ca3-sacramento
7,TY8 Tokyo Data Center,https://www.datacenters.com/equinix-ty8-tokyo
7,Frankfurt FRA2 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra2
7,New York EWR21 Data Center,https://www.datacenters.com/digital-realty-new-york-ewr21
7,NYC1 New York Metro Data Center,https://www.datacenters.com/rackspace-nyc1-new-york-metro
7,Amsterdam AMS10 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams10
7,Equinix FR3 Data Center,https://www.datacenters.com/china-telecom-equinix-fr3
7,VA-1 - Northern Virginia Data Center,https://www.datacenters.com/iron-mountain-va-1-northern-virginia
7,Amsterdam AMS18 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams18
7,Cleveland Data Center,https://www.datacenters.com/h5-cleveland
7,Madrid MAD1 Data Center,https://www.datacenters.com/digital-realty-madrid-mad1
7,Beijing Data Center,https://www.datacenters.com/china-telecom-beijing
7,ML2 Milano Data Center,https://www.datacenters.com/equinix-ml2-milano
8,CAL-2 Calgary Data Center,https://www.datacenters.com/estruxture-cal-2-calgary
8,Dublin DUB12 Data Center,https://www.datacenters.com/digital-realty-dublin-dub12
8,"Silver Spring/Washington, D.C. Data Center",https://www.datacenters.com/databridge-sites-silver-spring-washington-d-c
8,DE2 Englewood Data Center,https://www.datacenters.com/equinix-de2-englewood
8,Atlanta - Norcross Data Center,https://www.datacenters.com/flexential-atlanta-norcross
8,FRA3 Frankfurt Data Center,https://www.datacenters.com/cyrusone-fra3-frankfurt
8,NY1 Newark Data Center,https://www.datacenters.com/equinix-ny1-newark
8,Allentown - TekPark Data Center,https://www.datacenters.com/tierpoint-allentown-tekpark
8,DEN2 Centennial Data Center,https://www.datacenters.com/databank-den2-centennial
8,Ciudad de Mexico 1,https://www.datacenters.com/cirion-technologies-ciudad-de-mexico-1
8,Global Switch  Singapore Data Center,https://www.datacenters.com/china-telecom-global-switch-singapore
8,HE6 Espoo Data Center,https://www.datacenters.com/equinix-he6-espoo
8,LON - 2 - London Data Center,https://www.datacenters.com/iron-mountain-lon-2-london
8,LON5 London Data Center,https://www.datacenters.com/rackspace-lon5-london
8,Marseille MRS1 Data Center,https://www.datacenters.com/digital-realty-marseille-mrs1
8,FRA1 Frankfurt Data Center,https://www.datacenters.com/limestone-networks-fra1-frankfurt
8,TY2 Shinagawa Data Center,https://www.datacenters.com/equinix-ty2-shinagawa
8,Buenos Aires 1,https://www.datacenters.com/cirion-technologies-buenos-aires-1
8,DA7 Plano Data Center,https://www.datacenters.com/equinix-da7-plano
